Compound_name	Metabolite_score	Sim_Mean	Sim_StD	Std_from_Sim_Mean	KEGG_code
Butanal	10.534	4.837	2.553	2	C01412
Ethanol	9.567	5.726	1.802	2	C00469
Primary_alcohol	9.567	5.726	1.802	2	C00226
(2-Naphthyl)methanol	9.567	5.726	1.802	2	C02909
1-Hydroxymethylnaphthalene	9.567	5.726	1.802	2	C14089
Selenite	9.409	4.964	2.534	1	C05684
Methylselenic_acid	9.409	4.964	2.534	1	C18902
(3S)-3-Hydroxyadipyl-CoA	9.264	4.928	2.527	1	C14145
Thioredoxin_disulfide	9.26	-1.34	6.049	1	C00343
(R)-Lactate	8.867	5.016	2.473	1	C00256
D-Fructose_1-phosphate	8.76	-0.239	6.222	1	C01094
UTP	8.59	6.212	1.365	1	C00075
CTP	8.411	6.298	1.226	1	C00063
Propanoate	8.185	4.831	2.551	1	C00163
Glutaryl-[acp]_methyl_ester	8.175	4.956	2.522	1	C20375
Malonyl-[acp]_methyl_ester	8.175	4.956	2.522	1	C19673
CO2	8.05	0.415	5.405	1	C00011
2,4-Diamino-6-nitrotoluene	7.872	6.02	1.521	1	C16396
Fe2+	7.788	4.796	2.619	1	C14818
L-Cysteate	7.574	5.705	1.857	1	C00506
L-Isoleucine	7.418	5.073	2.481	0	C00407
[Enzyme]-cysteine	7.16	4.889	2.584	0	C15811
Guanosine	7.139	5.589	1.927	0	C00387
L-Valine	7.139	5.04	2.568	0	C00183
D-Tagatose_6-phosphate	6.885	5.629	1.943	0	C01097
D-Mannose	6.801	6.216	1.353	0	C00159
beta-D-Fructose_6-phosphate	6.779	-0.601	5.796	1	C05345
Octanoyl-[acp]	6.741	-0.129	6.177	1	C05752
Dodecanoyl-[acyl-carrier_protein]	6.741	-0.129	6.177	1	C05223
Decanoyl-[acp]	6.741	-0.129	6.177	1	C05755
6-Carboxyhex-2-enoyl-CoA	6.539	5.047	2.51	0	C06723
Perillyl-CoA	6.539	5.047	2.51	0	C11929
2-Hydroxy-4-hydroxymethylbenzalpyruvate	6.539	5.047	2.51	0	C14107
2-Hydroxy-3-methylbenzalpyruvate	6.539	5.047	2.51	0	C14086
2-Hydroxyglutaryl-CoA	6.539	5.047	2.51	0	C03058
Salicin_6-phosphate	6.508	0.457	6.234	0	C06188
L-Tryptophan	6.492	5.033	2.553	0	C00078
Pantetheine	6.459	5.079	2.547	0	C00831
L-Threonine	6.418	1.142	5.626	0	C00188
alpha-D-Ribose_1-phosphate	6.349	5.812	1.869	0	C00620
6-Mercaptopurine	6.209	4.838	2.527	0	C02380
Coproporphyrinogen_III	6	4.822	2.568	0	C03263
2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine	5.807	5.067	2.516	0	C04874
Nicotinate_D-ribonucleotide	5.672	0.959	6.175	0	C01185
Phosphatidylglycerol	5.672	4.904	2.524	0	C00344
D-Sorbitol	5.35	6.156	1.384	0	C00794
Phosphonoacetate	5.17	4.972	2.506	0	C05682
4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one	5.087	5.041	2.514	0	C16595
L-Methionine	4.991	1.269	5.804	0	C00073
Apo-[acyl-carrier-protein]	4.906	5.058	2.437	0	C03688
Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	4.644	-0.376	6.086	0	C05897
MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	4.644	-0.376	6.086	0	C04851
L-Glutamine	4.386	1.643	5.397	0	C00064
Nicotinamide_D-ribonucleotide	4.321	5.144	2.448	0	C00455
