KEGG_ID	Outdegree	Indegree	Betweenness	HBLC	Closeness	OCCI
C00002	7	1	4271.08440424619	533.885550530773	5.85394409483389e-06	0.000122699386503067
C00003	1	2	1414	471.333333333333	5.68740864599862e-06	7.60340632603406e-05
C00006	0	1	0	0	5.61920870303044e-06	6.54193379562999e-05
C00007	1	0	0	0	5.79498501996372e-06	0.000101132686084142
C00008	4	4	19688.9983396405	2461.12479245507	5.8632800361178e-06	0.000126935770500127
C00009	0	1	0	0	5.65230416179155e-06	7.02049985959e-05
C00010	1	2	19173	6391	5.83025787230569e-06	0.000113071008593397
C00011	9	7	18643.464741122	1165.21654632012	5.87982807382712e-06	0.000135171668018383
C00012	1	0	0	0	5.67359791211597e-06	7.36377025036819e-05
C00014	3	9	33007.5478897444	2750.62899081203	5.88190314858275e-06	0.000136276914690651
C00015	4	3	20110.3034184472	2872.9004883496	5.81047396036095e-06	0.000106067034365719
C00016	1	1	0	0	5.59437429720673e-06	6.22045284896741e-05
C00018	0	1	0	0	6.92712182936975e-07	0
C00019	3	2	11326.9	2265.38	5.76060094589068e-06	9.15918666422422e-05
C00020	4	4	18429.1670494344	2303.64588117931	5.82448496991654e-06	0.000110938540048813
C00021	2	1	3446.4	1148.8	5.73259726784414e-06	8.49906510283869e-05
C00022	14	14	256311.258416179	9153.97351486353	5.9128563235042e-06	0.000155086848635236
C00024	16	13	164888.084507913	5685.79601751424	5.90029678492828e-06	0.000146886016451234
C00025	9	7	46286.5683021771	2892.91051888607	5.88134965211817e-06	0.00013598041881969
C00026	11	8	44252.55241742	2329.08170618	5.89960059703958e-06	0.000146455770357352
C00027	0	1	0	0	5.79498501996372e-06	0.000101132686084142
C00029	5	2	1641	234.428571428571	5.71340421763499e-06	8.09585492227979e-05
C00031	2	1	590.496974177684	196.832324725895	5.71941684825815e-06	8.21827744904668e-05
C00033	1	4	2051.79556830578	410.359113661157	5.85847105622375e-06	0.000124719381391868
C00035	3	3	15400.3264213473	2566.72107022454	5.86286752850819e-06	0.000126742712294043
