Substrate	Max_Growth_Rate	Time_of_Max_Rate_in_Hours	Max_OD	Time_of_Max_OD_in_Hours	Rate_at_18_hours	Mean_Rate	AUC
acetylglucosamine	0.085	7	0.744	18	0.014	0.021	13.68
acetylneuraminate	0.024	9	0.375	18	0.01	0.01	8.304
sorbitol	0.044	8.5	0.351	14	0	0.009	6.117
galactitol	0.02	7.5	0.211	15.5	0	0.006	3.662
mannitol	0.044	7	0.461	18	0.002	0.013	7.521
salicin	0.077	13.5	0.869	15	-0.246	0.008	20.119
bhi	0.057	8	0.663	12.5	-0.052	0.009	11.69
no_amino_acids	0.006	0	0.011	17.5	-0.001	0	0.212
no_carbohydrates	0.028	7	0.212	13	0	0.006	3.354
