Compound_code	Lower_99_Interval	Lower_95_Interval	Sim_Median	Upper_95_Interval	Upper_99_Interval
C05528	-6.111	-6.065	-5.8195	-5.574	-5.528
C05527	0.0	0.0	0.0	0.0	0.0
C00027	-5.289	-5.187	-4.644	-4.101	-3.999
C02876	-2.042	-1.798	-0.5	0.798	1.042
C16242	0.401	0.62	1.7925	2.965	3.184
C16243	-1.398	-1.178	0.0	1.178	1.398
C06723	3.999	4.101	4.644	5.187	5.289
C00944	-5.289	-5.187	-4.644	-4.101	-3.999
C16595	3.999	4.101	4.644	5.187	5.289
C02430	-4.17	-3.955	-2.807	-1.659	-1.444
C04332	-1.375	-1.158	0.0	1.158	1.375
C14819	-5.289	-5.187	-4.644	-4.101	-3.999
C14818	3.999	4.101	4.644	5.187	5.289
C00431	-6.099	-6.053	-5.807	-5.561	-5.515
C00437	-0.852	-0.638	0.5	1.638	1.852
C01451	3.999	4.101	4.644	5.187	5.289
C00438	-1.061	-0.815	0.5	1.815	2.061
C00826	3.999	4.101	4.644	5.187	5.289
C00534	0.0	0.0	0.0	0.0	0.0
C00469	5.425	5.473	5.728	5.983	6.031
C01181	-5.289	-5.187	-4.644	-4.101	-3.999
C04877	-0.102	0.118	1.2925	2.467	2.687
C04874	3.999	4.101	4.644	5.187	5.289
C01185	-3.669	-3.457	-2.322	-1.187	-0.975
C15812	-3.554	-3.334	-2.161	-0.988	-0.768
C15813	0.0	0.0	0.0	0.0	0.0
C15810	0.0	0.0	0.0	0.0	0.0
C15811	3.999	4.101	4.644	5.187	5.289
C15814	0.0	0.0	0.0	0.0	0.0
C15815	0.232	0.478	1.7925	3.107	3.353
C16688	0.214	0.431	1.585	2.739	2.956
C05752	-0.081	0.136	1.2925	2.449	2.666
C00794	5.473	5.522	5.781	6.04	6.089
C05840	1.322	1.539	2.696	3.853	4.07
C00886	-5.289	-5.187	-4.644	-4.101	-3.999
C00506	5.528	5.574	5.8195	6.065	6.111
C01233	3.999	4.101	4.644	5.187	5.289
C00226	5.425	5.473	5.728	5.983	6.031
C00222	0.0	0.0	0.0	0.0	0.0
C00221	3.999	4.101	4.644	5.187	5.289
C00385	-4.921	-4.69	-3.459	-2.228	-1.997
C00387	5.537	5.586	5.845	6.104	6.153
C02504	-1.375	-1.158	0.0	1.158	1.375
C00229	0.611	0.831	2.0	3.169	3.389
C00499	3.999	4.101	4.644	5.187	5.289
C00380	0.0	0.0	0.0	0.0	0.0
C16396	5.282	5.335	5.615	5.895	5.948
C14463	0.0	0.0	0.0	0.0	0.0
C00546	-5.956	-5.911	-5.672	-5.433	-5.388
C16399	-5.948	-5.895	-5.615	-5.335	-5.282
C16217	-5.289	-5.187	-4.644	-4.101	-3.999
C02291	3.999	4.101	4.644	5.187	5.289
C00364	-2.365	-2.149	-1.0	0.149	0.365
C00365	-2.533	-2.291	-1.0	0.291	0.533
C00362	0.0	0.0	0.0	0.0	0.0
C16244	-0.079	0.138	1.2925	2.447	2.664
C00360	0.0	0.0	0.0	0.0	0.0
C00008	1.72	1.949	3.17	4.391	4.62
C00007	3.999	4.101	4.644	5.187	5.289
C00006	-5.289	-5.187	-4.644	-4.101	-3.999
C00003	0.829	1.04	2.161	3.282	3.493
C00002	-5.878	-5.659	-4.4915	-3.324	-3.105
C00369	-3.063	-2.83	-1.585	-0.34	-0.107
C05703	-6.071	-6.025	-5.781	-5.537	-5.491
C06613	0.351	0.612	2.0	3.388	3.649
C06507	-0.954	-0.724	0.5	1.724	1.954
C16619	-6.222	-6.178	-5.9425	-5.707	-5.663
C11062	3.999	4.101	4.644	5.187	5.289
C02612	5.419	5.472	5.755	6.038	6.091
C16615	-5.289	-5.187	-4.644	-4.101	-3.999
C16614	3.999	4.101	4.644	5.187	5.289
C00645	-6.074	-6.019	-5.728	-5.437	-5.382
C00099	-3.231	-3.004	-1.7925	-0.581	-0.354
C00311	0.171	0.427	1.7925	3.158	3.414
C00310	-1.4	-1.179	0.0	1.179	1.4
C00641	-2.436	-2.21	-1.0	0.21	0.436
C01931	-5.289	-5.187	-4.644	-4.101	-3.999
C00315	0.0	0.0	0.0	0.0	0.0
C00314	3.999	4.101	4.644	5.187	5.289
C00091	-4.79	-4.521	-3.085	-1.649	-1.38
C00760	-4.079	-3.843	-2.585	-1.327	-1.091
C00093	-4.056	-3.841	-2.696	-1.551	-1.336
C00094	-3.885	-3.587	-2.0	-0.413	-0.115
C00095	-4.442	-4.228	-3.085	-1.942	-1.728
C00096	0.0	0.0	0.0	0.0	0.0
C00097	-3.003	-2.779	-1.585	-0.391	-0.167
C14099	-6.031	-5.983	-5.728	-5.473	-5.425
C06311	-5.977	-5.929	-5.672	-5.415	-5.367
C00433	3.999	4.101	4.644	5.187	5.289
C14090	-6.031	-5.983	-5.728	-5.473	-5.425
C14095	3.999	4.101	4.644	5.187	5.289
C15667	3.999	4.101	4.644	5.187	5.289
C14096	-5.289	-5.187	-4.644	-4.101	-3.999
C02702	-5.289	-5.187	-4.644	-4.101	-3.999
C04732	-1.375	-1.158	0.0	1.158	1.375
C04734	0.0	0.0	0.0	0.0	0.0
C05172	3.999	4.101	4.644	5.187	5.289
C11948	3.999	4.101	4.644	5.187	5.289
C11949	-5.289	-5.187	-4.644	-4.101	-3.999
C05775	-2.769	-2.536	-1.2925	-0.049	0.184
C07118	3.999	4.101	4.644	5.187	5.289
C05773	-5.289	-5.187	-4.644	-4.101	-3.999
C05778	-2.031	-1.789	-0.5	0.789	1.031
C05670	3.999	4.101	4.644	5.187	5.289
C00164	0.125	0.355	1.585	2.815	3.045
C00166	-4.488	-4.222	-2.807	-1.392	-1.126
C00167	-5.289	-5.187	-4.644	-4.101	-3.999
