Compound_code	Lower_99_Interval	Lower_95_Interval	Sim_Median	Upper_95_Interval	Upper_99_Interval
C00160	-0.44	-0.213	1.0	2.213	2.44
C03794	-0.661	-0.399	1.0	2.399	2.661
C00162	3.999	4.101	4.644	5.187	5.289
C00163	3.999	4.101	4.644	5.187	5.289
C02984	-5.289	-5.187	-4.644	-4.101	-3.999
C02987	-5.289	-5.187	-4.644	-4.101	-3.999
C00169	1.336	1.55	2.696	3.842	4.056
C02047	-5.289	-5.187	-4.644	-4.101	-3.999
C03082	-3.59	-3.364	-2.161	-0.958	-0.732
C04377	-5.289	-5.187	-4.644	-4.101	-3.999
C04376	-1.867	-1.651	-0.5	0.651	0.867
C20396	5.484	5.531	5.781	6.031	6.078
C20258	0.509	0.745	2.0	3.255	3.491
C03089	0.0	0.0	0.0	0.0	0.0
C00860	-1.385	-1.166	0.0	1.166	1.385
C00862	0.0	0.0	0.0	0.0	0.0
C02962	3.999	4.101	4.644	5.187	5.289
C00864	0.799	1.014	2.161	3.308	3.523
C04272	-3.811	-3.576	-2.322	-1.068	-0.833
C04501	0.0	0.0	0.0	0.0	0.0
C00906	3.999	4.101	4.644	5.187	5.289
C01419	-0.341	-0.129	1.0	2.129	2.341
C16186	-6.006	-5.957	-5.7	-5.443	-5.394
C01149	3.999	4.101	4.644	5.187	5.289
C01144	-3.911	-3.66	-2.322	-0.984	-0.733
C01146	-5.289	-5.187	-4.644	-4.101	-3.999
C04421	0.0	0.0	0.0	0.0	0.0
C01142	-5.289	-5.187	-4.644	-4.101	-3.999
C06510	-0.895	-0.675	0.5	1.675	1.895
C03561	3.999	4.101	4.644	5.187	5.289
C03402	-5.289	-5.187	-4.644	-4.101	-3.999
C03406	-5.289	-5.187	-4.644	-4.101	-3.999
C05512	-3.804	-3.57	-2.322	-1.074	-0.84
C04181	0.0	0.0	0.0	0.0	0.0
C07645	3.999	4.101	4.644	5.187	5.289
C07648	3.999	4.101	4.644	5.187	5.289
C05519	0.0	0.0	0.0	0.0	0.0
C00327	-3.669	-3.456	-2.322	-1.188	-0.975
C00692	-0.087	0.131	1.2925	2.454	2.672
C02320	3.999	4.101	4.644	5.187	5.289
C00084	2.332	2.556	3.7535	4.951	5.175
C02463	3.999	4.101	4.644	5.187	5.289
C05269	-5.289	-5.187	-4.644	-4.101	-3.999
C03232	-5.289	-5.187	-4.644	-4.101	-3.999
C18096	-5.289	-5.187	-4.644	-4.101	-3.999
C00269	-4.803	-4.591	-3.459	-2.327	-2.115
C09814	3.999	4.101	4.644	5.187	5.289
C11539	3.999	4.101	4.644	5.187	5.289
C11538	-5.289	-5.187	-4.644	-4.101	-3.999
C00263	-2.917	-2.615	-1.0	0.615	0.917
C00262	0.067	0.307	1.585	2.863	3.103
C13629	0.0	0.0	0.0	0.0	0.0
C16216	3.999	4.101	4.644	5.187	5.289
C00267	0.383	0.606	1.7925	2.979	3.202
C00266	-5.289	-5.187	-4.644	-4.101	-3.999
C04494	-1.869	-1.653	-0.5	0.653	0.869
C00402	-5.289	-5.187	-4.644	-4.101	-3.999
C00460	3.999	4.101	4.644	5.187	5.289
C00286	-6.011	-5.8	-4.672	-3.544	-3.333
C00283	0.686	0.944	2.322	3.7	3.958
C00282	-5.289	-5.187	-4.644	-4.101	-3.999
C00320	0.0	0.0	0.0	0.0	0.0
C01962	-5.289	-5.187	-4.644	-4.101	-3.999
C00088	0.0	0.0	0.0	0.0	0.0
C04691	-3.981	-3.761	-2.585	-1.409	-1.189
C02218	-5.289	-5.187	-4.644	-4.101	-3.999
C05947	0.0	0.0	0.0	0.0	0.0
C05946	0.0	0.0	0.0	0.0	0.0
C01209	-2.651	-2.437	-1.2925	-0.148	0.066
C00217	1.649	1.876	3.085	4.294	4.521
C00214	0.0	0.0	0.0	0.0	0.0
C00212	5.37	5.42	5.686	5.952	6.002
C00606	0.704	0.96	2.322	3.684	3.94
C06399	-5.289	-5.187	-4.644	-4.101	-3.999
C05841	3.999	4.101	4.644	5.187	5.289
C00035	-3.379	-3.161	-2.0	-0.839	-0.621
C05844	-5.289	-5.187	-4.644	-4.101	-3.999
C00033	1.466	1.678	2.807	3.936	4.148
C00031	1.371	1.58	2.696	3.812	4.021
C00136	1.942	2.191	3.522	4.853	5.102
C00135	2.148	2.365	3.522	4.679	4.896
C00134	-3.227	-3.0	-1.7925	-0.585	-0.358
C00133	-4.449	-4.233	-3.085	-1.937	-1.721
C00131	-2.205	-1.936	-0.5	0.936	1.205
C00130	-2.408	-2.185	-1.0	0.185	0.408
C05635	-5.289	-5.187	-4.644	-4.101	-3.999
C05634	3.999	4.101	4.644	5.187	5.289
C06112	0.0	0.0	0.0	0.0	0.0
C00043	-1.097	-0.845	0.5	1.845	2.097
C00041	-4.411	-4.188	-3.0	-1.812	-1.589
C00040	5.388	5.433	5.672	5.911	5.956
C00047	-0.949	-0.72	0.5	1.72	1.949
C00046	1.707	1.95	3.246	4.542	4.785
C00044	-3.842	-3.602	-2.322	-1.042	-0.802
C00049	-2.006	-1.768	-0.5	0.768	1.006
C00048	-3.181	-2.882	-1.2925	0.297	0.596
C02642	-5.289	-5.187	-4.644	-4.101	-3.999
C00149	0.174	0.43	1.7925	3.155	3.411
C06481	-2.655	-2.44	-1.2925	-0.145	0.07
C20440	0.424	0.64	1.7925	2.945	3.161
C06482	-5.289	-5.187	-4.644	-4.101	-3.999
C04236	-5.289	-5.187	-4.644	-4.101	-3.999
C01101	3.999	4.101	4.644	5.187	5.289
C01100	0.089	0.325	1.585	2.845	3.081
C01103	0.093	0.329	1.585	2.841	3.077
C01102	0.0	0.0	0.0	0.0	0.0
C05125	-3.517	-3.245	-1.7925	-0.34	-0.068
C03688	3.999	4.101	4.644	5.187	5.289
C06002	3.999	4.101	4.644	5.187	5.289
C06007	-3.811	-3.576	-2.322	-1.068	-0.833
C06006	-4.186	-3.968	-2.807	-1.646	-1.428
C00227	-2.08	-1.752	0.0	1.752	2.08
C16565	-5.289	-5.187	-4.644	-4.101	-3.999
C04633	-3.757	-3.53	-2.322	-1.114	-0.887
C16255	-5.967	-5.916	-5.644	-5.372	-5.321
C00954	-6.238	-6.193	-5.954	-5.715	-5.67
C00957	1.006	1.273	2.696	4.119	4.386
C05345	2.205	2.423	3.585	4.747	4.965
C00818	-5.289	-5.187	-4.644	-4.101	-3.999
C00819	0.0	0.0	0.0	0.0	0.0
C00424	-5.289	-5.187	-4.644	-4.101	-3.999
C00429	3.999	4.101	4.644	5.187	5.289
C00817	0.0	0.0	0.0	0.0	0.0
C03451	3.999	4.101	4.644	5.187	5.289
C01672	3.999	4.101	4.644	5.187	5.289
C00036	-3.292	-3.022	-1.585	-0.148	0.122
C05223	-0.081	0.136	1.2925	2.449	2.666
C00037	-1.453	-1.223	0.0	1.223	1.453
C15809	3.999	4.101	4.644	5.187	5.289
C16698	-6.042	-5.997	-5.755	-5.513	-5.468
C03912	0.0	0.0	0.0	0.0	0.0
C02512	3.999	4.101	4.644	5.187	5.289
C00253	-6.157	-6.108	-5.8455	-5.583	-5.534
C00250	3.999	4.101	4.644	5.187	5.289
C00251	-3.058	-2.826	-1.585	-0.344	-0.112
C00256	3.999	4.101	4.644	5.187	5.289
C05338	3.999	4.101	4.644	5.187	5.289
C00255	-2.965	-2.747	-1.585	-0.423	-0.205
C05336	-5.289	-5.187	-4.644	-4.101	-3.999
C00392	5.454	5.502	5.755	6.008	6.056
C00258	-3.72	-3.474	-2.161	-0.848	-0.602
C05335	-3.511	-3.298	-2.161	-1.024	-0.811
C16596	-5.289	-5.187	-4.644	-4.101	-3.999
C04390	3.999	4.101	4.644	5.187	5.289
C01081	-5.289	-5.187	-4.644	-4.101	-3.999
C01083	3.999	4.101	4.644	5.187	5.289
C00559	0.84	1.074	2.322	3.57	3.804
C00491	3.999	4.101	4.644	5.187	5.289
C00492	3.999	4.101	4.644	5.187	5.289
C00493	0.076	0.347	1.7925	3.238	3.509
C00555	3.999	4.101	4.644	5.187	5.289
C01089	3.999	4.101	4.644	5.187	5.289
C00498	-2.589	-2.338	-1.0	0.338	0.589
C00882	-0.372	-0.156	1.0	2.156	2.372
C00881	3.999	4.101	4.644	5.187	5.289
C00078	3.999	4.101	4.644	5.187	5.289
C00079	-0.567	-0.273	1.2925	2.858	3.152
C00072	5.394	5.443	5.7	5.957	6.006
C00073	-2.987	-2.765	-1.585	-0.405	-0.183
C00071	-6.131	-6.086	-5.8455	-5.605	-5.56
C00077	0.86	1.065	2.161	3.257	3.462
C00074	1.067	1.286	2.4535	3.621	3.84
C00075	5.348	5.392	5.6295	5.867	5.911
C04454	-5.289	-5.187	-4.644	-4.101	-3.999
C00039	0.0	0.0	0.0	0.0	0.0
C03127	-5.289	-5.187	-4.644	-4.101	-3.999
C00085	1.816	2.029	3.17	4.311	4.524
C02352	3.999	4.101	4.644	5.187	5.289
C00083	2.76	2.976	4.1285	5.281	5.497
C00082	-0.631	-0.328	1.2925	2.913	3.216
C00080	3.999	4.101	4.644	5.187	5.289
C16630	3.999	4.101	4.644	5.187	5.289
C04640	-1.878	-1.661	-0.5	0.661	0.878
C03175	-1.069	-0.821	0.5	1.821	2.069
C00089	5.57	5.617	5.8705	6.124	6.171
C04646	-1.861	-1.646	-0.5	0.646	0.861
C00670	3.999	4.101	4.644	5.187	5.289
C00671	-5.289	-5.187	-4.644	-4.101	-3.999
C00672	1.023	1.248	2.4535	3.659	3.884
C00673	1.248	1.459	2.585	3.711	3.922
C01251	-5.289	-5.187	-4.644	-4.101	-3.999
C01250	-2.818	-2.577	-1.2925	-0.008	0.233
C01929	0.0	0.0	0.0	0.0	0.0
C05936	3.999	4.101	4.644	5.187	5.289
C00106	-4.403	-4.181	-3.0	-1.819	-1.597
C00105	-1.721	-1.45	0.0	1.45	1.721
C00103	1.775	1.995	3.17	4.345	4.565
C00100	0.621	0.865	2.161	3.457	3.701
C00101	1.452	1.697	3.0	4.303	4.548
C15556	-1.408	-1.186	0.0	1.186	1.408
C00109	-0.343	-0.131	1.0	2.131	2.343
C04702	1.614	1.833	3.0	4.167	4.386
C00363	-5.289	-5.187	-4.644	-4.101	-3.999
C15980	0.0	0.0	0.0	0.0	0.0
C05764	-0.081	0.136	1.2925	2.449	2.666
C06899	3.999	4.101	4.644	5.187	5.289
C05761	-0.081	0.136	1.2925	2.449	2.666
C05760	0.418	0.635	1.7925	2.95	3.167
C05763	0.418	0.635	1.7925	2.95	3.167
C05762	-3.243	-3.014	-1.7925	-0.571	-0.342
C00361	1.222	1.437	2.585	3.733	3.948
C00170	-2.811	-2.525	-1.0	0.525	0.811
C02670	3.999	4.101	4.644	5.187	5.289
C02992	-5.289	-5.187	-4.644	-4.101	-3.999
C00179	-3.407	-3.185	-2.0	-0.815	-0.593
C00178	0.0	0.0	0.0	0.0	0.0
C02995	-1.855	-1.641	-0.5	0.641	0.855
C00447	0.0	0.0	0.0	0.0	0.0
C03090	-2.781	-2.546	-1.2925	-0.039	0.196
C04260	-5.959	-5.914	-5.672	-5.43	-5.385
C07086	-5.289	-5.187	-4.644	-4.101	-3.999
C01077	3.999	4.101	4.644	5.187	5.289
C02972	3.999	4.101	4.644	5.187	5.289
C11434	0.0	0.0	0.0	0.0	0.0
C11435	-2.133	-1.875	-0.5	0.875	1.133
C11436	-1.154	-0.893	0.5	1.893	2.154
C00857	0.767	0.987	2.161	3.335	3.555
C02412	-5.928	-5.881	-5.6295	-5.378	-5.331
C00853	3.999	4.101	4.644	5.187	5.289
C01179	-2.947	-2.732	-1.585	-0.438	-0.223
C04823	0.795	1.01	2.161	3.312	3.527
C01170	0.0	0.0	0.0	0.0	0.0
C04411	-3.063	-2.829	-1.585	-0.341	-0.107
C01172	2.024	2.261	3.522	4.783	5.02
C00473	3.999	4.101	4.644	5.187	5.289
C03892	-5.289	-5.187	-4.644	-4.101	-3.999
C00681	1.308	1.527	2.696	3.865	4.084
C00680	-1.433	-1.207	0.0	1.207	1.433
C04556	0.0	0.0	0.0	0.0	0.0
C02411	-5.289	-5.187	-4.644	-4.101	-3.999
C02839	-5.289	-5.187	-4.644	-4.101	-3.999
C04257	3.999	4.101	4.644	5.187	5.289
C00689	-4.267	-4.052	-2.9035	-1.755	-1.54
C05271	0.0	0.0	0.0	0.0	0.0
C05270	0.0	0.0	0.0	0.0	0.0
C02554	-5.289	-5.187	-4.644	-4.101	-3.999
C00512	-5.289	-5.187	-4.644	-4.101	-3.999
C16220	-2.365	-2.149	-1.0	0.149	0.365
C00921	0.804	1.018	2.161	3.304	3.518
C04294	3.999	4.101	4.644	5.187	5.289
C00458	-6.305	-6.092	-4.954	-3.816	-3.603
C04895	-5.289	-5.187	-4.644	-4.101	-3.999
C04896	1.076	1.293	2.4535	3.614	3.831
C00376	-5.289	-5.187	-4.644	-4.101	-3.999
C04488	-6.003	-5.955	-5.7	-5.445	-5.397
C00455	3.999	4.101	4.644	5.187	5.289
C01697	5.367	5.415	5.672	5.929	5.977
C15972	-4.032	-3.821	-2.696	-1.571	-1.36
C16618	-2.973	-2.754	-1.585	-0.416	-0.197
C00330	3.999	4.101	4.644	5.187	5.289
C00332	-3.3	-3.03	-1.585	-0.14	0.13
C00334	-2.763	-2.531	-1.2925	-0.054	0.178
C00337	-0.192	0.042	1.2925	2.543	2.777
C05699	3.999	4.101	4.644	5.187	5.289
C04688	-2.365	-2.149	-1.0	0.149	0.365
C04122	1.717	1.933	3.085	4.237	4.453
C00636	0.0	0.0	0.0	0.0	0.0
C00637	3.999	4.101	4.644	5.187	5.289
C00630	3.999	4.101	4.644	5.187	5.289
C00631	-2.064	-1.738	0.0	1.738	2.064
C02527	0.0	0.0	0.0	0.0	0.0
C16221	0.418	0.635	1.7925	2.95	3.167
C00208	5.655	5.704	5.9655	6.227	6.276
C01001	0.0	0.0	0.0	0.0	0.0
C05985	3.999	4.101	4.644	5.187	5.289
C00204	0.318	0.583	2.0	3.417	3.682
C01212	-0.954	-0.724	0.5	1.724	1.954
C07490	-5.289	-5.187	-4.644	-4.101	-3.999
C01217	5.397	5.445	5.7	5.955	6.003
C00025	-1.517	-1.278	0.0	1.278	1.517
C00024	-2.874	-2.624	-1.2925	0.039	0.289
C00148	-4.202	-3.964	-2.696	-1.428	-1.19
C00026	-1.029	-0.788	0.5	1.788	2.029
C00021	-3.011	-2.786	-1.585	-0.384	-0.159
C00020	-0.023	0.264	1.7925	3.321	3.608
C00022	1.472	1.713	3.0	4.287	4.528
C00143	-1.59	-1.339	0.0	1.339	1.59
C00140	3.999	4.101	4.644	5.187	5.289
C00141	1.274	1.499	2.696	3.893	4.118
C00029	-3.205	-2.982	-1.7925	-0.603	-0.38
C00147	-3.876	-3.631	-2.322	-1.013	-0.768
C00144	1.461	1.674	2.807	3.94	4.153
C03740	-5.289	-5.187	-4.644	-4.101	-3.999
C01079	-5.289	-5.187	-4.644	-4.101	-3.999
C05748	0.418	0.635	1.7925	2.95	3.167
C05984	3.999	4.101	4.644	5.187	5.289
C05807	3.999	4.101	4.644	5.187	5.289
C05729	-0.341	-0.129	1.0	2.129	2.341
C04631	-4.23	-4.005	-2.807	-1.609	-1.384
C11437	-2.887	-2.589	-1.0	0.589	0.887
C00644	1.569	1.78	2.9035	4.027	4.238
C06319	0.0	0.0	0.0	0.0	0.0
C02739	0.484	0.723	2.0	3.277	3.516
C00647	0.0	0.0	0.0	0.0	0.0
C05726	-6.201	-6.154	-5.906	-5.658	-5.611
C00705	1.186	1.407	2.585	3.763	3.984
C06250	2.264	2.482	3.6425	4.803	5.021
C01242	0.0	0.0	0.0	0.0	0.0
C02631	0.0	0.0	0.0	0.0	0.0
C02637	0.0	0.0	0.0	0.0	0.0
C03194	3.999	4.101	4.644	5.187	5.289
C04419	-4.879	-4.655	-3.459	-2.263	-2.039
C01528	-5.289	-5.187	-4.644	-4.101	-3.999
C02938	3.999	4.101	4.644	5.187	5.289
C00750	0.0	0.0	0.0	0.0	0.0
C04752	-3.546	-3.327	-2.161	-0.995	-0.776
C04751	-1.885	-1.667	-0.5	0.667	0.885
C00763	0.234	0.447	1.585	2.723	2.936
C01134	-2.923	-2.711	-1.585	-0.459	-0.247
C01137	-2.445	-2.217	-1.0	0.217	0.445
C00092	-6.01	-5.961	-5.7	-5.439	-5.39
C06035	0.0	0.0	0.0	0.0	0.0
C02226	0.0	0.0	0.0	0.0	0.0
C03511	-5.289	-5.187	-4.644	-4.101	-3.999
C03512	-5.289	-5.187	-4.644	-4.101	-3.999
C06033	0.0	0.0	0.0	0.0	0.0
C12147	-3.544	-3.325	-2.161	-0.997	-0.778
C00329	3.999	4.101	4.644	5.187	5.289
C04462	-2.198	-1.93	-0.5	0.93	1.198
C06408	3.999	4.101	4.644	5.187	5.289
C02741	0.0	0.0	0.0	0.0	0.0
C06407	-1.372	-1.156	0.0	1.156	1.372
C06406	3.999	4.101	4.644	5.187	5.289
C20373	-2.365	-2.149	-1.0	0.149	0.365
C20372	-2.956	-2.739	-1.585	-0.431	-0.214
C20377	-2.365	-2.149	-1.0	0.149	0.365
C20376	-2.956	-2.739	-1.585	-0.431	-0.214
C20375	3.999	4.101	4.644	5.187	5.289
C20374	-5.289	-5.187	-4.644	-4.101	-3.999
C05897	-3.841	-3.622	-2.4535	-1.285	-1.066
C20378	-5.289	-5.187	-4.644	-4.101	-3.999
C00804	-5.289	-5.187	-4.644	-4.101	-3.999
C00969	3.999	4.101	4.644	5.187	5.289
C11545	0.195	0.414	1.585	2.756	2.975
C00966	0.5	0.737	2.0	3.263	3.5
C11540	-1.372	-1.156	0.0	1.156	1.372
C11542	-1.889	-1.669	-0.5	0.669	0.889
C11543	0.379	0.602	1.7925	2.983	3.206
C02282	0.0	0.0	0.0	0.0	0.0
C04916	-3.142	-2.929	-1.7925	-0.656	-0.443
C00415	-5.289	-5.187	-4.644	-4.101	-3.999
C00416	-3.408	-3.186	-2.0	-0.814	-0.592
C00417	0.0	0.0	0.0	0.0	0.0
C03460	-5.289	-5.187	-4.644	-4.101	-3.999
C04851	-3.841	-3.622	-2.4535	-1.285	-1.066
C03345	0.0	0.0	0.0	0.0	0.0
C00993	-0.389	-0.17	1.0	2.17	2.389
C00620	5.623	5.672	5.931	6.19	6.239
C11355	0.244	0.456	1.585	2.714	2.926
C05951	-5.289	-5.187	-4.644	-4.101	-3.999
C05576	0.0	0.0	0.0	0.0	0.0
C05577	0.0	0.0	0.0	0.0	0.0
C03263	3.999	4.101	4.644	5.187	5.289
C00378	0.0	0.0	0.0	0.0	0.0
C00242	-5.002	-4.787	-3.6425	-2.498	-2.283
C00245	3.999	4.101	4.644	5.187	5.289
C00246	0.0	0.0	0.0	0.0	0.0
C00624	-2.369	-2.153	-1.0	0.153	0.369
C16587	-5.289	-5.187	-4.644	-4.101	-3.999
C02170	-5.289	-5.187	-4.644	-4.101	-3.999
C00568	0.942	1.16	2.322	3.484	3.702
C01099	3.999	4.101	4.644	5.187	5.289
C01097	5.572	5.629	5.931	6.233	6.29
C01096	2.648	2.861	4.0	5.139	5.352
C01094	2.77	2.978	4.087	5.196	5.404
C05682	3.999	4.101	4.644	5.187	5.289
C00341	0.0	0.0	0.0	0.0	0.0
C00342	-3.127	-2.917	-1.7925	-0.668	-0.458
C00343	2.231	2.445	3.585	4.725	4.939
C00344	3.999	4.101	4.644	5.187	5.289
C05684	3.999	4.101	4.644	5.187	5.289
C00061	0.0	0.0	0.0	0.0	0.0
C00060	-5.289	-5.187	-4.644	-4.101	-3.999
C00063	5.315	5.365	5.6295	5.894	5.944
C00062	5.415	5.468	5.755	6.042	6.095
C00065	-3.802	-3.569	-2.322	-1.075	-0.842
C00064	-5.525	-5.298	-4.087	-2.876	-2.649
C11811	-1.402	-1.181	0.0	1.181	1.402
C16633	3.999	4.101	4.644	5.187	5.289
C04675	3.999	4.101	4.644	5.187	5.289
C16631	-5.289	-5.187	-4.644	-4.101	-3.999
C04677	1.694	1.9	3.0	4.1	4.306
C16635	3.999	4.101	4.644	5.187	5.289
C16634	-5.289	-5.187	-4.644	-4.101	-3.999
C19673	3.999	4.101	4.644	5.187	5.289
C03752	5.255	5.302	5.555	5.808	5.855
C05923	0.0	0.0	0.0	0.0	0.0
C05922	0.0	0.0	0.0	0.0	0.0
C05921	0.0	0.0	0.0	0.0	0.0
C00748	0.0	0.0	0.0	0.0	0.0
C04079	3.999	4.101	4.644	5.187	5.289
C00668	2.14	2.358	3.522	4.686	4.904
C01268	0.0	0.0	0.0	0.0	0.0
C00666	-2.732	-2.505	-1.2925	-0.08	0.147
C00663	-2.967	-2.749	-1.585	-0.421	-0.203
C02163	-5.289	-5.187	-4.644	-4.101	-3.999
C00988	3.999	4.101	4.644	5.187	5.289
C00989	3.999	4.101	4.644	5.187	5.289
C00114	-5.289	-5.187	-4.644	-4.101	-3.999
C00117	2.612	2.824	3.9535	5.083	5.295
C00116	0.0	0.0	0.0	0.0	0.0
C00111	-3.799	-3.54	-2.161	-0.782	-0.523
C02380	3.999	4.101	4.644	5.187	5.289
C00112	-2.971	-2.752	-1.585	-0.418	-0.199
C00119	-1.602	-1.349	0.0	1.349	1.602
C00118	-4.027	-3.799	-2.585	-1.371	-1.143
C06416	-5.289	-5.187	-4.644	-4.101	-3.999
C11929	3.999	4.101	4.644	5.187	5.289
C01346	0.876	1.104	2.322	3.54	3.768
C11924	-5.289	-5.187	-4.644	-4.101	-3.999
C05750	-3.243	-3.014	-1.7925	-0.571	-0.342
C05751	0.418	0.635	1.7925	2.95	3.167
C14145	3.999	4.101	4.644	5.187	5.289
C05753	-3.243	-3.014	-1.7925	-0.571	-0.342
C05754	0.418	0.635	1.7925	2.95	3.167
C05755	-0.081	0.136	1.2925	2.449	2.666
C05756	-2.956	-2.739	-1.585	-0.431	-0.214
C05757	-2.365	-2.149	-1.0	0.149	0.365
C05758	0.418	0.635	1.7925	2.95	3.167
C05759	-2.956	-2.739	-1.585	-0.431	-0.214
C05811	-5.289	-5.187	-4.644	-4.101	-3.999
C05810	3.999	4.101	4.644	5.187	5.289
C00236	0.0	0.0	0.0	0.0	0.0
C00188	-0.935	-0.708	0.5	1.708	1.935
