Treatment	Toxin	Spores
clindamycin	2.301029996	610000
clindamycin	2.301029996	10000
clindamycin	2.301029996	17000
clindamycin	2.301029996	310000
clindamycin	2	24000
clindamycin	1.99999	10000
clindamycin	1.99999	127000
clindamycin	2.301029996	142000
clindamycin	2.301029996	151000
streptomycin	1.99999	670000
streptomycin	1.99999	600000
streptomycin	1.99999	220000
streptomycin	3	64000
streptomycin	1.99999	36000
streptomycin	2.301029996	50000
streptomycin	1.99999	200
streptomycin	1.99999	60000
streptomycin	1.99999	7000
cefoperazone	1.99999	200
cefoperazone	3	60000
cefoperazone	1.99999	930000
cefoperazone	2.301029996	200
cefoperazone	2.301029996	200
cefoperazone	2.301029996	720000
cefoperazone	1.99999	200
cefoperazone	2.301029996	1000
cefoperazone	2.301029996	650000
germfree	3	980000
germfree	3	570000
germfree	3	1160000
germfree	3	1250000
germfree	3	660000
germfree	3	2110000
germfree	3	2030000
germfree	3	1460000
germfree	3	2880000
