mouse	cage	treatment	type	cfu
1	1	conventional	vegetative	0
2	1	conventional	vegetative	0
3	1	conventional	vegetative	0
4	2	conventional	vegetative	0
5	2	conventional	vegetative	0
6	2	conventional	vegetative	0
7	3	conventional	vegetative	0
8	3	conventional	vegetative	0
9	3	conventional	vegetative	0
1	1	conventional	spore	0
2	1	conventional	spore	0
3	1	conventional	spore	0
4	2	conventional	spore	0
5	2	conventional	spore	0
6	2	conventional	spore	0
7	3	conventional	spore	0
8	3	conventional	spore	0
9	3	conventional	spore	0
1	1	Cefoperazone	vegetative	60000000
2	1	Cefoperazone	vegetative	50000000
3	1	Cefoperazone	vegetative	80000000
4	2	Cefoperazone	vegetative	50000000
5	2	Cefoperazone	vegetative	50000000
6	2	Cefoperazone	vegetative	100000000
7	3	Cefoperazone	vegetative	10000000
8	3	Cefoperazone	vegetative	50000000
9	3	Cefoperazone	vegetative	20000000
10	4	Cefoperazone	vegetative	0
11	4	Cefoperazone	vegetative	0
12	4	Cefoperazone	vegetative	0
13	5	Cefoperazone	vegetative	0
14	5	Cefoperazone	vegetative	0
15	5	Cefoperazone	vegetative	0
16	6	Cefoperazone	vegetative	0
17	6	Cefoperazone	vegetative	0
18	6	Cefoperazone	vegetative	0
1	1	Cefoperazone	spore	0
2	1	Cefoperazone	spore	60000
3	1	Cefoperazone	spore	930000
4	2	Cefoperazone	spore	0
5	2	Cefoperazone	spore	0
6	2	Cefoperazone	spore	720000
7	3	Cefoperazone	spore	0
8	3	Cefoperazone	spore	1000
9	3	Cefoperazone	spore	650000
10	4	Cefoperazone	spore	0
11	4	Cefoperazone	spore	0
12	4	Cefoperazone	spore	0
13	5	Cefoperazone	spore	0
14	5	Cefoperazone	spore	0
15	5	Cefoperazone	spore	0
16	6	Cefoperazone	spore	0
17	6	Cefoperazone	spore	0
18	6	Cefoperazone	spore	0
1	1	Clindamycin	vegetative	44000000
2	1	Clindamycin	vegetative	84000000
3	1	Clindamycin	vegetative	34000000
4	2	Clindamycin	vegetative	77000000
5	2	Clindamycin	vegetative	42000000
6	2	Clindamycin	vegetative	47000000
7	3	Clindamycin	vegetative	12000000
8	3	Clindamycin	vegetative	30000000
9	3	Clindamycin	vegetative	38000000
10	4	Clindamycin	vegetative	0
11	4	Clindamycin	vegetative	0
12	4	Clindamycin	vegetative	0
13	5	Clindamycin	vegetative	0
14	5	Clindamycin	vegetative	0
15	5	Clindamycin	vegetative	0
16	6	Clindamycin	vegetative	0
17	6	Clindamycin	vegetative	0
18	6	Clindamycin	vegetative	0
1	1	Clindamycin	spore	610000
2	1	Clindamycin	spore	10000
3	1	Clindamycin	spore	17000
4	2	Clindamycin	spore	310000
5	2	Clindamycin	spore	24000
6	2	Clindamycin	spore	10000
7	3	Clindamycin	spore	127000
8	3	Clindamycin	spore	142000
9	3	Clindamycin	spore	151000
10	4	Clindamycin	spore	0
11	4	Clindamycin	spore	0
12	4	Clindamycin	spore	0
13	5	Clindamycin	spore	0
14	5	Clindamycin	spore	0
15	5	Clindamycin	spore	0
16	6	Clindamycin	spore	0
17	6	Clindamycin	spore	0
18	6	Clindamycin	spore	0
1	1	Streptomycin	vegetative	120000000
2	1	Streptomycin	vegetative	10000000
3	1	Streptomycin	vegetative	70000000
4	2	Streptomycin	vegetative	300000000
5	2	Streptomycin	vegetative	270000000
6	2	Streptomycin	vegetative	180000000
7	3	Streptomycin	vegetative	10000000
8	3	Streptomycin	vegetative	20000000
9	3	Streptomycin	vegetative	30000000
10	4	Streptomycin	vegetative	0
11	4	Streptomycin	vegetative	0
12	4	Streptomycin	vegetative	0
13	5	Streptomycin	vegetative	0
14	5	Streptomycin	vegetative	0
15	5	Streptomycin	vegetative	0
16	6	Streptomycin	vegetative	0
17	6	Streptomycin	vegetative	0
18	6	Streptomycin	vegetative	0
1	1	Streptomycin	spore	670000
2	1	Streptomycin	spore	600000
3	1	Streptomycin	spore	220000
4	2	Streptomycin	spore	64000
5	2	Streptomycin	spore	36000
6	2	Streptomycin	spore	50000
7	3	Streptomycin	spore	0
8	3	Streptomycin	spore	60000
9	3	Streptomycin	spore	7000
10	4	Streptomycin	spore	0
11	4	Streptomycin	spore	0
12	4	Streptomycin	spore	0
13	5	Streptomycin	spore	0
14	5	Streptomycin	spore	0
15	5	Streptomycin	spore	0
16	6	Streptomycin	spore	0
17	6	Streptomycin	spore	0
18	6	Streptomycin	spore	0
1	1	Germfree	vegetative	50000000
2	1	Germfree	vegetative	80000000
3	1	Germfree	vegetative	70000000
4	2	Germfree	vegetative	80000000
5	2	Germfree	vegetative	190000000
6	2	Germfree	vegetative	180000000
7	3	Germfree	vegetative	120000000
8	3	Germfree	vegetative	100000000
9	3	Germfree	vegetative	80000000
1	1	Germfree	spore	980000
2	1	Germfree	spore	570000
3	1	Germfree	spore	1160000
4	2	Germfree	spore	1250000
5	2	Germfree	spore	660000
6	2	Germfree	spore	2110000
7	3	Germfree	spore	2030000
8	3	Germfree	spore	1460000
9	3	Germfree	spore	2880000
