KO_code	Transcripts
K03637	3.0
K03637	3.0
K17686	2.0
K17686	2.0
K03631	4.0
K03631	4.0
K03630	19.0
K03630	19.0
K00180	101.0
K00180	101.0
K11105	2.0
K11105	2.0
K16962	13.0
K16962	13.0
K03149	0.0
K03149	0.0
K03148	0.0
K03148	0.0
K03639	5.0
K03639	5.0
K06162	0.0
K06162	0.0
K06163	0.0
K06163	0.0
K10112	4.0
K10112	4.0
K07001	12.0
K07001	12.0
K06166	0.0
K06166	0.0
K06167	4.0
K06167	4.0
K02313	13.0
K02313	13.0
K06165	0.0
K06165	0.0
K06283	12.0
K06283	12.0
K03147	1.0
K03147	1.0
K06168	4.0
K06168	4.0
K12942	0.0
K12942	0.0
K06287	22.0
K06287	22.0
K08483	30.0
K08483	30.0
K00260	232.0
K00260	232.0
K00266	62.0
K00266	62.0
K02341	5.0
K02341	5.0
K05845	7.0
K05845	7.0
K05847	6.0
K05847	6.0
K04083	4.0
K04083	4.0
K02016	2.0
K02016	2.0
K00971	5.0
K00971	5.0
K03531	32.0
K03531	32.0
K02017	1.0
K02017	1.0
K01992	24.0
K01992	24.0
K01990	45.0
K01990	45.0
K02112	35.0
K02112	35.0
K06436	50.0
K06436	50.0
K11755	2.0
K11755	2.0
K04749	5.0
K04749	5.0
K01515	14.0
K01515	14.0
K01783	12.0
K01783	12.0
K01104	8.0
K01104	8.0
K11753	8.0
K11753	8.0
K06967	2.0
K06967	2.0
K05592	20.0
K05592	20.0
K00868	3.0
K00868	3.0
K03737	204.0
K03737	204.0
K02010	6.0
K02010	6.0
K00680	1.0
K00680	1.0
K07139	3.0
K07139	3.0
K02111	26.0
K02111	26.0
K01681	0.0
K01681	0.0
K01295	4.0
K01295	4.0
K13626	33.0
K13626	33.0
K01297	3.0
K01297	3.0
K03977	8.0
K03977	8.0
K01193	0.0
K01193	0.0
K05601	4.0
K05601	4.0
K01126	3.0
K01126	3.0
K02314	21.0
K02314	21.0
K02823	2.0
K02823	2.0
K01198	1.0
K01198	1.0
K14540	5.0
K14540	5.0
K14231	17.0
K14231	17.0
K00215	27.0
K00215	27.0
K01035	13.0
K01035	13.0
K01034	13.0
K01034	13.0
K04517	0.0
K04517	0.0
K00655	8.0
K00655	8.0
K06164	0.0
K06164	0.0
K02030	5.0
K02030	5.0
K02031	3.0
K02031	3.0
K02032	5.0
K02032	5.0
K02033	98.0
K02033	98.0
K02034	92.0
K02034	92.0
K02035	192.0
K02035	192.0
K03625	5.0
K03625	5.0
K02037	0.0
K02037	0.0
K01585	1.0
K01585	1.0
K07090	6.0
K07090	6.0
K16961	18.0
K16961	18.0
K00602	26.0
K00602	26.0
K07095	16.0
K07095	16.0
K00604	6.0
K00604	6.0
K00606	1.0
K00606	1.0
K07099	1.0
K07099	1.0
K07098	4.0
K07098	4.0
K01420	8.0
K01420	8.0
K00532	14.0
K00532	14.0
K00919	6.0
K00919	6.0
K01588	4.0
K01588	4.0
K03553	12.0
K03553	12.0
K01425	9.0
K01425	9.0
K07560	7.0
K07560	7.0
K10974	9.0
K10974	9.0
K02011	0.0
K02011	0.0
K07568	4.0
K07568	4.0
K14665	0.0
K14665	0.0
K13652	1.0
K13652	1.0
K02050	38.0
K02050	38.0
K01449	8.0
K01449	8.0
K11198	1.0
K11198	1.0
K01463	2.0
K01463	2.0
K14534	91.0
K14534	91.0
K07391	1.0
K07391	1.0
K01761	0.0
K01761	0.0
K07646	3.0
K07646	3.0
K03594	10.0
K03594	10.0
K03595	18.0
K03595	18.0
K03596	10.0
K03596	10.0
K01042	0.0
K01042	0.0
K03458	5.0
K03458	5.0
K02519	24.0
K02519	24.0
K02518	39.0
K02518	39.0
K00974	1.0
K00974	1.0
K02108	19.0
K02108	19.0
K03980	4.0
K03980	4.0
K11175	6.0
K11175	6.0
K01734	22.0
K01734	22.0
K06518	2.0
K06518	2.0
K01733	1.0
K01733	1.0
K01639	1.0
K01639	1.0
