KO_code	Transcripts
K03637	0.0
K17686	0.0
K03631	3.0
K03630	3.0
K00180	6.0
K11105	0.0
K16962	7.0
K03149	0.0
K03148	0.0
K03639	0.0
K06162	0.0
K06163	0.0
K10112	1.0
K07001	3.0
K06166	0.0
K06167	0.0
K02313	4.0
K06165	0.0
K06283	0.0
K03147	0.0
K06168	13.0
K12942	0.0
K06287	5.0
K08483	16.0
K00260	7.0
K00266	8.0
K02341	1.0
K05845	0.0
K05847	0.0
K04083	1.0
K02016	1.0
K00971	0.0
K03531	7.0
K02017	0.0
K01992	1.0
K01990	4.0
K02112	28.0
K06436	1.0
K11755	1.0
K04749	5.0
K01515	1.0
K01783	4.0
K01104	2.0
K11753	2.0
K06967	0.0
K05592	15.0
K00868	0.0
K03737	106.0
K02010	3.0
K00680	0.0
K07139	2.0
K02111	8.0
K01681	0.0
K01295	0.0
K13626	3.0
K01297	0.0
K03977	13.0
K01193	0.0
K05601	0.0
K01126	0.0
K02314	5.0
K02823	1.0
K01198	0.0
K14540	1.0
K14231	68.0
K00215	4.0
K01035	0.0
K01034	0.0
K04517	1.0
K00655	1.0
K06164	0.0
K02030	0.0
K02031	1.0
K02032	4.0
K02033	9.0
K02034	7.0
K02035	17.0
K03625	2.0
K02037	0.0
K01585	0.0
K07090	0.0
K16961	10.0
K00602	2.0
K07095	3.0
K00604	3.0
K00606	0.0
K07099	0.0
K07098	0.0
K01420	0.0
K00532	0.0
K00919	2.0
K01588	4.0
K03553	3.0
K01425	0.0
K07560	3.0
K10974	2.0
K02011	0.0
K07568	2.0
K14665	0.0
K13652	0.0
K02050	3.0
K01449	1.0
K11198	0.0
K01463	40.0
K14534	0.0
K07391	0.0
K01761	0.0
K07646	0.0
K03594	0.0
K03595	15.0
K03596	18.0
K01042	0.0
K03458	0.0
K02519	15.0
K02518	58.0
K00974	0.0
K02108	6.0
K03980	0.0
K11175	2.0
K01734	4.0
K06518	0.0
K01733	0.0
K01639	88.0
K15023	73.0
K01921	2.0
K12267	0.0
K01633	1.0
K01926	30.0
K01738	0.0
K15024	42.0
K07024	2.0
K07025	0.0
K07027	0.0
K03856	2.0
K00043	0.0
K00042	0.0
K05833	20.0
K07533	2.0
K03521	273.0
K02422	3.0
K03210	48.0
K02420	2.0
K06412	5.0
K06941	0.0
K03527	1.0
K03526	1.0
K03529	1.0
K12573	2.0
K06949	1.0
K07141	0.0
K00925	164.0
K07467	0.0
K03778	6.0
K07460	0.0
K06015	0.0
K08998	1.0
K09761	1.0
K02358	1879.0
K01814	0.0
K05808	2.0
K01811	2.0
K02217	9.0
K06042	3.0
K02355	620.0
K02357	89.0
K02356	97.0
K06958	0.0
K13275	0.0
K00134	165.0
K04043	199.0
K04042	3.0
K00131	0.0
K05823	0.0
K00088	5.0
K01952	2.0
K01953	0.0
K01951	18.0
K15460	0.0
K03299	0.0
K00783	0.0
K00784	0.0
K07040	23.0
K07736	0.0
K07737	0.0
K00788	0.0
K00789	23.0
K03296	0.0
K00030	0.0
K03294	1.0
K03073	33.0
K03070	11.0
K03077	0.0
K03076	20.0
K03075	6.0
K01809	1.0
