KO_code	Transcripts
K03637	5.0
K17686	1.0
K03631	6.0
K03630	30.0
K00180	20.0
K11105	11.0
K16962	8.0
K03149	0.0
K03148	0.0
K03639	5.0
K06162	0.0
K06163	0.0
K10112	5.0
K07001	16.0
K06166	0.0
K06167	4.0
K02313	17.0
K06165	0.0
K06283	0.0
K03147	0.0
K06168	5.0
K12942	0.0
K06287	38.0
K08483	54.0
K00260	91.0
K00266	47.0
K02341	5.0
K05845	13.0
K05847	13.0
K04083	4.0
K02016	3.0
K00971	10.0
K03531	27.0
K02017	1.0
K01992	26.0
K01990	45.0
K02112	101.0
K06436	9.0
K11755	3.0
K04749	5.0
K01515	17.0
K01783	18.0
K01104	12.0
K11753	14.0
K06967	3.0
K05592	33.0
K00868	5.0
K03737	216.0
K02010	9.0
K00680	2.0
K07139	5.0
K02111	78.0
K01681	3.0
K01295	1.0
K13626	27.0
K01297	1.0
K03977	10.0
K01193	0.0
K05601	6.0
K01126	0.0
K02314	28.0
K02823	4.0
K01198	0.0
K14540	9.0
K14231	12.0
K00215	24.0
K01035	0.0
K01034	0.0
K04517	3.0
K00655	10.0
K06164	0.0
K02030	5.0
K02031	3.0
K02032	3.0
K02033	72.0
K02034	70.5
K02035	109.0
K03625	7.0
K02037	0.0
K01585	1.0
K07090	1.0
K16961	11.0
K00602	21.0
K07095	23.0
K00604	9.0
K00606	3.0
K07099	2.0
K07098	4.0
K01420	2.0
K00532	14.0
K00919	8.0
K01588	7.0
K03553	11.0
K01425	7.0
K07560	7.0
K10974	31.0
K02011	0.0
K07568	5.0
K14665	0.0
K13652	1.0
K02050	2.0
K01449	0.0
K11198	1.0
K01463	11.0
K14534	33.5
K07391	0.0
K01761	0.0
K07646	7.0
K03594	0.0
K03595	15.0
K03596	13.0
K01042	1.0
K03458	3.0
K02519	28.0
K02518	60.0
K00974	1.0
K02108	61.0
K03980	8.0
K11175	9.0
K01734	19.0
K06518	5.0
K01733	2.0
K01639	25.0
K15023	19.0
K01921	3.0
K12267	5.0
K01633	12.0
K01926	45.0
K01738	1.0
K15024	43.0
K07024	16.0
K07025	2.0
K07027	5.0
K03856	3.0
K00043	31.0
K00042	0.0
K05833	56.0
K07533	15.0
K03521	260.0
K02422	31.0
K03210	40.0
K02420	19.0
K06412	85.0
K06941	4.0
K03527	9.0
K03526	2.0
K03529	9.0
K12573	3.0
K06949	6.0
K07141	2.0
K00925	59.0
K07467	1.0
K03778	96.0
K07460	0.0
K06015	4.0
K08998	17.0
K09761	6.0
K02358	298.0
K01814	1.0
K05808	32.0
K01811	10.0
K02217	45.0
K06042	6.0
K02355	189.0
K02357	65.0
K02356	45.0
K06958	10.0
K13275	0.0
K00134	182.0
K04043	29.0
K04042	25.0
K00131	3.0
K05823	9.0
K00088	37.0
K01952	19.0
K01953	0.0
K01951	24.0
K15460	2.0
K03299	0.0
K00783	4.0
K00784	2.0
K07040	87.0
K07736	25.0
K07737	8.0
K00788	0.0
K00789	21.0
K03296	9.0
K00030	4.0
K03294	2.0
K03073	74.0
K03070	40.0
K03077	0.0
K03076	132.0
K03075	16.0
K01809	5.0
K01255	3.0
K02119	6.0
K01736	2.0
K02012	17.0
K07464	7.0
K07321	12.0
K03177	18.0
K05896	7.0
K05895	5.0
K02118	8.0
K07723	18.0
K06131	11.0
K01873	29.0
K00864	2.0
K00554	9.0
K09748	14.0
K01687	0.0
K12574	30.0
K00558	5.0
K01501	9.0
K02653	3.0
K01179	2.0
