Sim_Median	Sim_Lower99	Sim_Upper99	Sim_LowerSig	Sim_UpperSig
C00002	3.709	3.69018158524934	3.7540415005878	-7.918	7.522
C00003	-1.415	-1.45783377543537	-1.38122375890683	-8.124	8.22209999999999
C00006	-4.087	-4.13440552486607	-4.07461329427749	-8.539	0
C00007	4.087	4.07461329427749	4.13423359582765	0	8.48
C00008	-1.415	-1.45483087848024	-1.38262263608307	-7.273	7.404
C00009	-4.17	-4.21740552486607	-4.15761329427749	-8.535	0
C00010	-1.415	-1.45783377543537	-1.38067671196641	-8.11405	8.195
C00011	0.987	0.953208128994249	1.02491816792782	-7.08205	6.967
C00012	4.087	4.07461329427749	4.13423359582765	0	8.459
C00014	-3.14	-3.18302133438637	-3.11373393190325	-7.354	7.612
C00015	0	-0.0335886821421642	0.0317756122824661	-6.93305	7.05309999999999
C00016	0	0	0	0	0
C00018	-4.087	-4.13423359582765	-4.07461329427749	-8.418	0
C00019	0	-0.0340575795196723	0.0305330342320696	-7.43005	7.50505
C00020	0	-0.0235152034820316	0.00914349886140811	-5.289	5.461
C00021	0	-0.0347218508044754	0.0343232880335935	-7.852	7.809
C00022	-0.2315	-0.268535077866849	-0.196502671986239	-6.831	6.90905
C00024	0	-0.0341357290825903	0.0336609704878633	-6.572	6.67
C00025	0	-0.0340653944759641	0.0345596904614205	-6.744	6.74205
C00026	0	-0.0341923875157059	0.0333092974547322	-6.64	6.71205
C00027	-4.087	-4.13423359582765	-4.07461329427749	-8.48	0
C00029	2.494	2.4672103298317	2.53595263911347	-7.783	7.61
C00031	1.585	1.55156761698367	1.62821670829366	-8.165	8.132
C00033	-2.541	-2.58488097957847	-2.5119283625945	-7.898	7.99809999999999
C00035	0	-0.0384183251304977	0.0374258256814388	-7.70405	7.741
C00036	0.654	0.640612979872143	0.682657444722037	-6.02105	5.80705
C00037	0	-0.0366599599648423	0.0360425784177899	-7.258	7.315
C00039	0	0	0	0	0
C00040	5.445	5.41513123705273	5.49682097517094	0	8.205
C00041	1	0.969654524718934	1.03984064717561	-7.78505	7.757
C00043	0	-0.0229056368912711	0.031861576801676	-6.762	6.745
C00044	0	-0.0364958458827144	0.0375664948946913	-7.097	6.999
C00046	-2.322	-2.36034799052387	-2.30278302247846	-6.92505	7.122
C00047	1	0.970795508337537	1.03871529346959	-7.639	7.537
C00048	0	-0.0120037728642076	0.0120037728642076	-4.907	4.926
C00049	0	-0.0316896477632563	0.0337684261368756	-6.7951	6.747
C00051	4.087	4.07461329427749	4.13423359582765	0	8.492
C00052	0	-0.0316583879380891	0.0312598251672072	-7.43125	7.412
C00054	-4.17	-4.21740552486607	-4.15761329427749	-8.531	0
C00055	0	0	0	0	0
C00058	0.807	0.776099662822216	0.846332675016639	-7.758	7.731
C00060	-4.17	-4.21723359582765	-4.15761329427749	-8.539	0
C00061	0	0	0	0	0
C00062	4.841	4.81906341768891	4.8909532006172	0	8.391
C00063	5.597	5.56506027363541	5.64938365202395	0.485	8.141
C00064	3.019	2.99904450910888	3.06023952435184	-7.41505	7.12505
C00065	1.956	1.93271143025043	1.99494388094112	-7.388	7.19505
C00068	0	-0.0233120146184448	0.0226008535958908	-5.873	5.868
C00071	-5.209	-5.26001603467288	-5.18249166825821	-8.277	0
C00072	4.907	4.88506341768891	4.95728924373774	0	8.392
C00073	2.263	2.23517094064489	2.30519294901944	-7.845	7.674
C00074	0	-0.0364176963197964	0.0361363578932915	-7.606	7.62005
C00075	5.468	5.43824846139711	5.51989130977756	0	8.19714999999999
C00077	0	-0.0402782847279465	0.0405596231544514	-8.097	8.05605
C00078	4.087	4.07461329427749	4.13440552486607	0	8.539
C00079	0	-0.0166849316829969	0.00700220083745442	-4.67805	4.886
C00080	4.17	4.15761329427749	4.21740552486607	0	8.577
C00082	0	-0.0155048732829348	0.0109331238522307	-4.379	4.515
C00083	-3.25	-3.29588160838917	-3.22299151105553	-7.867	8.11305
C00084	-0.788	-0.825347676118521	-0.756101302155938	-7.20805	7.37705
C00085	0	-0.0380432072284912	0.0387074785132943	-7.875	7.894
C00088	0	0	0	0	0
C00089	4.858	4.83606341768891	4.90808605487416	0	8.39509999999999
C00091	1	0.991044060089595	1.02801661830611	-5.81505	5.612
C00092	-5.463	-5.51492256960273	-5.43332661096003	-8.215	-0.138
C00093	1.9	1.86556730257832	1.9429900745612	-7.849	7.71205
C00094	0	-0.00153173143319315	0.0172241636671312	-4.5351	4.381
C00095	2	1.96294929222057	2.04416231800497	-8.017	7.838
C00096	0	0	0	0	0
C00097	0.485	0.448621378461663	0.524996946301442	-7.50705	7.424
C00099	-0.585	-0.622965057665573	-0.554849898626229	-7.567	7.60005
C00100	0	-0.0297515386028895	0.0301501013737714	-7.271	7.2
C00101	-1.942	-1.978583764141	-1.91675769117748	-6.572	6.739
C00103	0	-0.0366834048337177	0.0372538966430192	-7.681	7.565
C00105	0	-0.0227727826343105	0.0247343366635527	-5.975	5.74205
C00106	0	-0.0362926570191276	0.0373633060311044	-7.58605	7.63905
C00109	-0.915	-0.955817516712081	-0.880278149195525	-7.78405	7.831
C00111	0	-0.0296421292148042	0.026734965474254	-6.385	6.47905
C00112	0	-0.0378869081026551	0.0380139011423969	-7.73605	7.736
C00114	-4.087	-4.13440552486607	-4.07461329427749	-8.535	0
C00116	0	0	0	0	0
C00117	-1.778	-1.81966934694789	-1.7428248817306	-7.615	7.80605
C00118	1.281	1.24789584514793	1.32030923014776	-7.27505	7.211
C00119	0.721	0.701368829794994	0.75301006097122	-6.51205	6.374
C00120	0	-0.0333933082348691	0.0329947454639872	-7.691	7.644
C00121	4.17	4.15761329427749	4.2175696389482	0	8.539
C00122	0	-0.00615818555793982	0.0163723334313248	-4.70515	4.72014999999999
C00123	4.087	4.07461329427749	4.13406166678923	0	8.472
C00129	0	-0.0347218508044754	0.0347218508044754	-7.852	7.847
C00130	0	-0.0348468901051442	0.0349328546243541	-7.3671	7.399
C00131	0	-0.0210066025123633	0.0206080397414814	-6.097	6.092
C00133	2.379	2.34679456512148	2.42310761331093	-8.244	8.011
C00134	0.585	0.55472485932556	0.622699349151652	-7.58905	7.53405
C00135	0	-0.0375664948946913	0.0379650576655732	-8.295	8.238
C00136	-2.202	-2.23783157459791	-2.1864638668919	-6.52405	6.85105
C00140	4.17	4.15761329427749	4.21723359582765	0	8.531
C00141	1	0.96946696576793	1.0397761737862	-7.788	7.778
C00143	0	-0.021725578491209	0.0307284081393647	-6.66705	6.559
C00144	-3.233	-3.27897538786467	-3.20576487732307	-7.915	8.16405
C00147	0	-0.0282823268200307	0.0301344714611878	-6.674	6.719
C00148	0	-0.0298687629472665	0.0343623628150525	-7.08405	6.974
C00149	0	-0.0307831128334073	0.0211003819878649	-6.587	6.615
C00151	4.087	4.07461329427749	4.13423359582765	0	8.492
C00152	0.515	0.483841769264586	0.553074467053658	-7.733	7.608
