Sim_Median	Sim_Lower99	Sim_Upper99	Sim_LowerSig	Sim_UpperSig
C00153	-4.907	-4.95721890913112	-4.88428192205973	-8.386	0
C00155	-2.585	-2.63002977815336	-2.55465452471893	-8.047	8.177
C00158	0	0	0	0	0
C00159	5.468	5.43804527253352	5.51994601447161	0	8.18709999999999
C00160	0	-0.0343232880335935	0.0347218508044754	-7.819	7.804
C00162	4.17	4.15761329427749	4.21740552486607	0	8.524
C00163	4.087	4.07461329427749	4.13423359582765	0	8.492
C00164	-1.7	-1.73907478145901	-1.67432786858143	-7.358	7.47205
C00166	0.621	0.60751138544035	0.649852818629332	-6.038	5.885
C00167	-4.087	-4.13440552486607	-4.07461329427749	-8.516	0
C00169	0	-0.040059465951776	0.0356283857343244	-7.90505	7.83805
C00170	0	-0.0173648328803836	0.0173648328803836	-5.615	5.65324999999998
C00178	0	0	0	0	0
C00179	0	-0.0375664948946913	0.0379650576655732	-8.257	8.219
C00180	-4.17	-4.21723359582765	-4.15761329427749	-8.539	0
C00181	0	-0.0379650576655732	0.0379650576655732	-8.27125	8.25724999999998
C00183	4.17	4.15761329427749	4.21723359582765	0	8.524
C00185	-4.087	-4.13423359582765	-4.07461329427749	-8.524	0
C00186	0	0	0	0	0
C00188	2.17	2.14385115624763	2.21002820612661	-7.583	7.37405
C00189	2.737	2.70646696576793	2.78224859692953	-8.167	8.002
C00192	4.087	4.07461329427749	4.13423359582765	0	8.52434999999997
C00194	-4.858	-4.9079532006172	-4.83606341768891	-8.407	0
C00197	-1.384	-1.4246065128922	-1.35015147056113	-7.42605	7.602
C00199	1.02	0.988505726144039	1.05987972195706	-7.89205	7.77205
C00204	0	-0.02862618489687	0.018294812679108	-6.2781	6.266
C00206	-2.515	-2.55851367663275	-2.486209701021	-7.798	7.992
C00208	5.219	5.19222595974429	5.27000821971659	0	8.29504999999999
C00212	5.261	5.23396806618666	5.31226611327422	0	8.322
C00214	0	0	0	0	0
C00217	0.737	0.707248461397111	0.774902538015239	-7.63705	7.505
C00221	4.17	4.15761329427749	4.21723359582765	0	8.531
C00222	0	0	0	0	0
C00226	4.883	4.86106341768891	4.93289068096686	0	8.349
C00227	0	-0.00123476309410469	0.000836200323222793	-3.514	3.524
C00229	0	-0.0379650576655732	0.0375664948946913	-8.262	8.20519999999998
C00231	-1.443	-1.47863620069062	-1.42156357489159	-6.84105	6.961
C00232	0	-0.0255783519430673	0.0255783519430673	-6.653	6.696
C00233	-4.087	-4.13423359582765	-4.07461329427749	-8.516	0
C00234	0.825	0.799632651876811	0.860026634099856	-7.193	7.05605
C00235	0	-0.035448641739613	0.035448641739613	-7.945	7.94
C00236	0	0	0	0	0
C00237	0	-0.0221163263057991	0.0219756570925467	-5.456	5.403
C00239	0	0	0	0	0
C00242	0.911	0.8758248817306	0.952591197384969	-7.747	7.741
C00245	4.087	4.07461329427749	4.13423359582765	0	8.492
C00246	0	0	0	0	0
C00250	4.087	4.07461329427749	4.13423359582765	0	8.418
C00251	1.939	1.91443759237487	1.9778950374643	-7.417	7.253
C00253	-4.891	-4.94108605487416	-4.86853981561736	-8.408	0
C00254	0	-0.02168650370975	0.02168650370975	-6.225	6.22024999999998
C00255	0	-0.0379650576655732	0.0379650576655732	-8.281	8.271
C00256	4.087	4.07461329427749	4.13423359582765	0	8.535
C00258	0	-0.0301501013737714	0.0297515386028895	-7.243	7.262
C00262	-0.415	-0.449932854624354	-0.388491668258208	-7.145	7.18214999999999
C00263	0	-0.0095498765885818	0.0095498765885818	-4.668	4.658
C00266	-4.17	-4.21723359582765	-4.15761329427749	-8.512	0
C00267	0.737	0.707303166091153	0.775199506354327	-7.59	7.558
C00269	1.807	1.77380206567243	1.85041208220096	-8.162	8.162
C00270	4.17	4.15761329427749	4.21723359582765	0	8.48
C00275	-3.285	-3.33116294681567	-3.25746009402769	-7.923	8.177
C00279	0	-0.0395593087491007	0.0398894906524294	-8.009	7.957
C00282	-4.17	-4.21740552486607	-4.15761329427749	-8.577	0
C00283	-1.322	-1.35557305222958	-1.30333006941889	-6.511	6.67909999999999
C00286	3.28	3.24697399471085	3.32542834092424	-8.00905	7.615
C00288	5.459	5.42904527253352	5.51097727429677	0	8.177
C00294	1.415	1.38122375890683	1.45783377543537	-8.208	8.133
C00295	0	0	0	0	0
C00299	0	-0.0187480801440325	0.0183495173731506	-5.774	5.74
C00301	4.17	4.15761329427749	4.2175696389482	0	8.57
C00302	-4.17	-4.21723359582765	-4.15761329427749	-8.539	0
C00310	0	-0.0379650576655732	0.0379650576655732	-8.257	8.299
C00311	0	-0.0277040200544374	0.0277040200544374	-6.935	6.935
C00314	4.087	4.07461329427749	4.13423359582765	0	8.418
C00315	0	0	0	0	0
C00320	0	0	0	0	0
C00327	-1.138	-1.17998194519956	-1.10356730257832	-8.11705	8.19909999999999
C00329	4.17	4.15761329427749	4.21723359582765	0	8.531
C00330	4.17	4.15761329427749	4.21740552486607	0	8.48
C00332	0	-0.0234136090502382	0.0237652820833693	-5.932	5.924
C00334	0	-0.0347218508044754	0.0347218508044754	-7.8522	7.884
C00337	0	-0.0333933082348691	0.0333933082348691	-7.691	7.64919999999998
C00341	0	0	0	0	0
C00342	2.684	2.65376784158516	2.72915481745403	-8.145	8.00405
C00343	-2.737	-2.78224859692953	-2.70698275288319	-7.991	8.14309999999999
C00344	4.17	4.15761329427749	4.21740552486607	0	8.524
C00352	0	-0.0363786215383374	0.0380529759238559	-7.714	7.758
C00353	-4.087	-4.13440552486607	-4.07461329427749	-8.516	0
C00354	0	-0.0173648328803836	0.0177633956512655	-5.677	5.723
C00356	0	0	0	0	0
C00357	0	-0.036589625358216	0.0347609255859344	-7.54205	7.46505
C00360	0	0	0	0	0
C00361	0	-0.0390396141556959	0.035448641739613	-7.76605	7.76
C00362	0	0	0	0	0
C00363	-4.087	-4.13423359582765	-4.07461329427749	-8.516	0
C00364	0	-0.0379650576655732	0.0379650576655732	-8.253	8.23824999999998
C00365	1.273	1.24887522992721	1.30906602328667	-7.2091	7.059
C00369	0	-0.0347218508044754	0.0343232880335935	-7.87	7.828
C00376	-4.17	-4.21706166678923	-4.15761329427749	-8.451	0
C00378	0	0	0	0	0
C00380	0	0	0	0	0
C00385	0	-0.031978801146053	0.0360210872879875	-7.2071	7.19505
C00387	4.858	4.83606341768891	4.90800009035495	0	8.407
C00392	4.907	4.88428192205973	4.95721890913112	0	8.401
C00402	-4.17	-4.21740552486607	-4.15761329427749	-8.539	0
C00407	4.087	4.07461329427749	4.13423359582765	0	8.5
C00409	-4.17	-4.21706166678923	-4.15761329427749	-8.512	0
C00415	-4.17	-4.21740552486607	-4.15761329427749	-8.48	0
C00416	-0.115	-0.152261711599311	-0.0826773407771077	-7.73305	7.791
C00417	0	0	0	0	0
C00424	-4.087	-4.13423359582765	-4.07461329427749	-8.516	0
C00429	4.17	4.15761329427749	4.21740552486607	0	8.53119999999998
C00431	-4.883	-4.93315638948078	-4.86106341768891	-8.379	0
C00433	4.17	4.15761329427749	4.21740552486607	0	8.524
C00437	1.485	1.45259919121419	1.52708353963135	-8.03605	8.008
C00438	0	-0.0301501013737714	0.0301501013737714	-7.248	7.234
C00440	0	-0.0249140806582642	0.0205377051348551	-5.62605	5.722
C00441	-0.29	-0.325128228531649	-0.261983381693891	-7.265	7.336
C00445	0	-0.0329947454639872	0.0329947454639872	-7.668	7.696
C00446	4.087	4.07461329427749	4.13440552486607	0	8.512
C00447	0	0	0	0	0
C00448	0.585	0.559327868581431	0.620472086608488	-7.19	7.167
C00455	4.087	4.07461329427749	4.13440552486607	0	8.512
C00458	4.17	4.15185367149044	4.21728830052169	-8.123	7.714
C00459	5.763	5.72815310989486	5.81565717549416	0.893	8.048
C00460	4.087	4.07461329427749	4.13423359582765	0	8.57
C00469	4.883	4.86106341768891	4.93289068096686	0	8.349
C00473	4.17	4.15761329427749	4.21706166678923	0	8.451
C00475	0	-0.0196233552487143	0.0162238492617805	-5.54405	5.62905
C00479	4.17	4.15761329427749	4.21723359582765	0	8.48
C00491	4.17	4.15761329427749	4.21740552486607	0	8.524
C00492	4.087	4.07461329427749	4.13440552486607	0	8.48
C00493	0	-0.0230619360171071	0.0230619360171071	-6.336	6.327
C00498	0	-0.0276962050981456	0.0284777007273258	-6.961	6.95624999999998
C00499	4.17	4.15761329427749	4.21740552486607	0	8.48
C00506	4.907	4.88428192205973	4.95728924373774	0	8.371
C00512	-4.087	-4.13440552486607	-4.07461329427749	-8.531	0
C00522	0	-0.0322054348785152	0.0322054348785152	-7.539	7.487
C00526	1.585	1.55122375890683	1.62816981855591	-8.1801	8.11114999999999
C00527	-4.087	-4.13440552486607	-4.07461329427749	-8.531	0
C00534	0	0	0	0	0
C00546	-4.907	-4.95721890913112	-4.88428192205973	-8.366	0
C00555	4.17	4.15761329427749	4.21740552486607	0	8.524
C00559	0	-0.0333933082348691	0.0333933082348691	-7.663	7.691
C00568	0	-0.0375664948946913	0.0379650576655732	-8.248	8.276
C00577	0	-0.0379650576655732	0.0379650576655732	-8.248	8.229
C00606	0	-0.0309003371777843	0.0205064453096879	-6.531	6.612
C00620	4.907	4.88428192205973	4.95721890913112	0	8.416
C00624	0	-0.0379650576655732	0.0379650576655732	-8.285	8.267
C00627	-4.087	-4.13423359582765	-4.07461329427749	-8.418	0
C00630	4.087	4.07461329427749	4.13440552486607	0	8.5
C00631	0	0	0.00457174943070405	-3.339	3.225
C00636	0	0	0	0	0
C00637	4.17	4.15761329427749	4.21740552486607	0	8.524
C00641	0	-0.0350500789687311	0.035448641739613	-7.90725	7.94
C00644	-1.585	-1.62816981855591	-1.55122375890683	-8.162	8.17
C00645	-4.768	-4.81761715749665	-4.74689961801213	-8.436	0
C00647	0	0	0	0	0
C00655	-1.757	-1.79652023396764	-1.7292569051641	-7.45805	7.666
C00663	0	-0.0379650576655732	0.0379650576655732	-8.229	8.276
C00666	0	-0.035448641739613	0.0350500789687311	-7.921	7.95019999999998
C00668	-2.7025	-2.74605470515328	-2.67443453821707	-7.796	7.93909999999999
C00670	4.087	4.07461329427749	4.13440552486607	0	8.535
C00671	-4.087	-4.13423359582765	-4.07461329427749	-8.524	0
C00672	0	-0.0375664948946913	0.0379650576655732	-8.185	8.257
C00673	-1.585	-1.62864653088971	-1.55151291228963	-8.162	8.152
C00680	0.585	0.556084661720333	0.622312508815208	-7.5451	7.47209999999999
C00681	-1.363	-1.40455212260351	-1.33095867920361	-7.915	7.972
C00689	1.585	1.55151291228963	1.62828704290029	-8.219	8.13414999999999
C00692	0	-0.0379650576655732	0.0379650576655732	-8.234	8.29024999999998
C00705	-1	-1.04077062697433	-0.968458836406288	-7.82015	7.892
C00718	0	-0.0297515386028895	0.0301501013737714	-7.243	7.285
C00725	4.087	4.07461329427749	4.13423359582765	0	8.524
C00726	4.17	4.15761329427749	4.21723359582765	0	8.539
C00748	0	0	0	0	0
C00750	0	0	0	0	0
C00760	0	-0.0329947454639872	0.0333933082348691	-7.629	7.668
C00763	1.585	1.55151291228963	1.62816981855591	-8.185	8.124
C00794	5.44	5.41024846139711	5.4918522349961	0	8.19704999999999
C00804	-4.17	-4.21740552486607	-4.15761329427749	-8.524	0
C00817	0	0	0	0	0
C00818	-4.17	-4.21740552486607	-4.15761329427749	-8.524	0
C00819	0	0	0	0	0
C00826	4.087	4.07461329427749	4.13406166678923	0	8.48
C00831	4.17	4.15761329427749	4.21723359582765	0	8.531
C00853	4.17	4.15761329427749	4.2175696389482	0	8.512
C00857	0	-0.0379650576655732	0.0375664948946913	-8.248	8.248
C00860	0	-0.0379650576655732	0.0375664948946913	-8.253	8.29924999999998
C00862	0	0	0	0	0
C00864	0	-0.0375664948946913	0.0379650576655732	-8.219	8.26224999999998
C00877	0	-0.0213035708514517	0.0140981811504105	-5.51205	5.61114999999999
C00881	4.17	4.15761329427749	4.21740552486607	0	8.48
C00882	0	-0.0375664948946913	0.0375664948946913	-8.224	8.229
C00886	-4.087	-4.13423359582765	-4.07461329427749	-8.5122	0
C00900	0	-0.0379650576655732	0.0375664948946913	-8.253	8.276
C00906	4.17	4.15761329427749	4.21740552486607	0	8.53119999999998
C00921	0	-0.0375664948946913	0.0383479905238715	-8.29025	8.229
C00931	4.087	4.07461329427749	4.13440552486607	0	8.48
C00944	-4.087	-4.13440552486607	-4.07461329427749	-8.535	0
C00954	-4.858	-4.90800009035495	-4.83553981561736	-8.40805	0
C00957	-0.663	-0.692415495482342	-0.647846799750196	-5.9791	6.17
C00966	0	-0.0325883677368135	0.0318068721076333	-7.539	7.525
C00969	4.17	4.15761329427749	4.21723359582765	0	8.48
C00979	4.615	4.59578302247846	4.66399196099331	0	8.45509999999999
C00988	4.087	4.07461329427749	4.13406166678923	0	8.48
C00989	4.087	4.07461329427749	4.13440552486607	0	8.48059999999995
C00993	0	-0.0375664948946913	0.0379650576655732	-8.214	8.281
C01001	0	0	0	0	0
C01024	-4.087	-4.13440552486607	-4.07461329427749	-8.48	0
C01050	0	-0.0362301373687932	0.0362301373687932	-8.026	8.04
C01077	4.087	4.07461329427749	4.13423359582765	0	8.543
C01079	-4.087	-4.13423359582765	-4.07461329427749	-8.48	0
C01081	-4.087	-4.13423359582765	-4.07461329427749	-8.512	0
C01083	4.087	4.07461329427749	4.13423359582765	0	8.53119999999998
C01089	4.087	4.07461329427749	4.13423359582765	0	8.524
C01094	-1	-1.04326750550956	-0.962267437284108	-7.909	8.05
C01096	-2.737	-2.78224859692953	-2.70698275288319	-7.991	8.15
C01097	4.722	4.70107154705055	4.77140615367677	0	8.40305
C01099	4.087	4.07461329427749	4.13423359582765	0	8.516
C01100	0	-0.0337762410931674	0.0329947454639872	-7.672	7.649
C01101	4.087	4.07461329427749	4.13406166678923	0	8.539
C01102	0	0	0	0	0
C01103	0	-0.0329947454639872	0.0329947454639872	-7.615	7.696
C01118	0	0	0	0	0
C01127	4.17	4.15761329427749	4.21740552486607	0	8.512
C01134	-1.585	-1.62816981855591	-1.55160669176513	-8.17705	8.17
C01137	0	-0.0347218508044754	0.0343232880335935	-7.814	7.794
C01142	-4.17	-4.21723359582765	-4.15761329427749	-8.451	0
C01144	0	-0.030675657184395	0.0211550866819075	-6.53105	6.57405
C01146	-4.087	-4.13423359582765	-4.07461329427749	-8.535	0
C01149	4.17	4.15761329427749	4.21740552486607	0	8.524
C01151	-4.087	-4.13423359582765	-4.07461329427749	-8.512	0
C01157	0	0	0	0	0
C01170	0	0	0	0	0
C01172	-2.059	-2.09656649489469	-2.03815165035255	-6.94705	7.13505
C01179	0	0	0	-2.295	2.107
C01181	-4.17	-4.21740552486607	-4.15761329427749	-8.524	0
C01185	1.585	1.55151291228963	1.62852930654534	-8.175	8.16009999999999
C01209	0.415	0.379809251818016	0.455270469771655	-8.154	8.06905
C01212	0	-0.0347218508044754	0.0347218508044754	-7.842	7.823
C01217	4.907	4.88428192205973	4.95708605487416	0	8.373
C01228	-4.087	-4.13440552486607	-4.07461329427749	-8.539	0
C01233	4.087	4.07461329427749	4.13440552486607	0	8.535
C01242	0	0	0	0	0
C01250	0	-0.0322054348785152	0.0322054348785152	-7.501	7.487
C01251	-4.17	-4.21740552486607	-4.15761329427749	-8.57	0
C01267	0	-0.0226633732462252	0.0234448688754054	-6.365	6.374
C01268	0	0	0	0	0
C01269	0	-0.0301501013737714	0.0301501013737714	-7.257	7.26224999999998
C01279	0	-0.0375664948946913	0.0379650576655732	-8.238	8.25724999999998
C01300	1.585	1.55180206567243	1.62828704290029	-8.172	8.19
C01304	0	-0.0375664948946913	0.0383479905238715	-8.243	8.313
C01346	-1	-1.03871529346959	-0.970795508337537	-7.56	7.602
C01401	-4.17	-4.21723359582765	-4.15761329427749	-8.539	0
C01412	4.087	4.07461329427749	4.13423359582765	0	8.472
C01419	1.585	1.55180206567243	1.62804477925524	-8.1901	8.15714999999999
C01451	4.087	4.07461329427749	4.13423359582765	0	8.53119999999998
C01528	-4.087	-4.13423359582765	-4.07461329427749	-8.531	0
C01613	4.087	4.07461329427749	4.13440552486607	0	8.48
C01672	4.087	4.07461329427749	4.13423359582765	0	8.464
C01697	5.261	5.23396806618666	5.31234426283714	0	8.298
C01762	4.794	4.77289961801213	4.84368749210328	0	8.41504999999999
C01801	4.17	4.15761329427749	4.2175696389482	0	8.539
C01909	0	0	0	0	0
C01929	0	0	0	0	0
C01931	-4.17	-4.21740552486607	-4.15761329427749	-8.512	0
C01962	-4.17	-4.21740552486607	-4.15761329427749	-8.524	0
C02047	-4.087	-4.13406166678923	-4.07461329427749	-8.472	0
C02051	1.585	1.55094242048033	1.62804477925524	-8.18	8.15
C02091	-4.17	-4.21740552486607	-4.15761329427749	-8.48	0
C02163	-4.17	-4.2175696389482	-4.15761329427749	-8.531	0
C02166	4.087	4.07461329427749	4.13423359582765	0	8.492
C02170	-4.17	-4.21740552486607	-4.15761329427749	-8.524	0
C02218	-4.17	-4.21740552486607	-4.15761329427749	-8.5	0
C02226	0	0	0	0	0
C02232	-4.087	-4.13423359582765	-4.07461329427749	-8.492	0
C02282	0	0	0	0	0
C02291	4.17	4.15761329427749	4.21740552486607	0	8.524
C02320	4.087	4.07461329427749	4.13423359582765	0	8.492
C02331	0	0	0	0	0
C02336	0	-0.0379650576655732	0.0375664948946913	-8.21925	8.267
C02352	4.087	4.07461329427749	4.13423359582765	0	8.535
C02380	4.17	4.15761329427749	4.21723359582765	0	8.492
C02411	-4.087	-4.13423359582765	-4.07461329427749	-8.4644	0
C02412	-4.907	-4.95735176338808	-4.88428192205973	-8.407	0
C02430	0	-0.0379650576655732	0.0379650576655732	-8.257	8.214
C02457	-4.17	-4.21723359582765	-4.15761329427749	-8.48	0
C02463	4.087	4.07461329427749	4.13423359582765	0	8.472
C02504	1.322	1.29027909241158	1.36335674869622	-7.983	7.887
C02512	4.087	4.07461329427749	4.13423359582765	0	8.492
C02527	0	0	0	0	0
C02553	-4.17	-4.21740552486607	-4.15761329427749	-8.57	0
C02554	-4.17	-4.21723359582765	-4.15761329427749	-8.524	0
C02576	4.17	4.15761329427749	4.21740552486607	0	8.524
C02612	4.883	4.86106341768891	4.93335176338808	0	8.384
C02631	0	0	0	0	0
C02637	0	0	0	0	0
C02642	-4.17	-4.21740552486607	-4.15761329427749	-8.5312	0
C02670	4.17	4.15761329427749	4.21740552486607	0	8.524
C02702	-4.17	-4.21740552486607	-4.15761329427749	-8.535	0
C02713	4.087	4.07461329427749	4.13423359582765	0	8.53119999999998
C02714	-4.087	-4.13440552486607	-4.07461329427749	-8.539	0
C02739	-0.585	-0.620354862264111	-0.55875737677213	-7.132	7.17214999999999
C02741	0	0	0	0	0
C02835	-4.17	-4.21740552486607	-4.15761329427749	-8.524	0
C02839	-4.087	-4.13423359582765	-4.07461329427749	-8.492	0
C02876	0	-0.0297515386028895	0.0301501013737714	-7.224	7.214
C02909	4.883	4.86106341768891	4.93289068096686	0	8.349
C02938	4.17	4.15761329427749	4.21723359582765	0	8.539
C02946	-4.17	-4.21740552486607	-4.15761329427749	-8.524	0
C02962	4.087	4.07461329427749	4.13440552486607	0	8.581
C02972	4.17	4.15761329427749	4.21740552486607	0	8.516
C02984	-4.087	-4.13440552486607	-4.07461329427749	-8.581	0
C02987	-4.087	-4.13423359582765	-4.07461329427749	-8.451	0
C02988	-4.17	-4.21723359582765	-4.15761329427749	-8.492	0
C02992	-4.087	-4.13423359582765	-4.07461329427749	-8.539	0
C02995	-1.585	-1.62841208220096	-1.55122375890683	-8.145	8.18714999999999
C03028	-4.087	-4.13423359582765	-4.07461329427749	-8.492	0
C03058	4.087	4.07461329427749	4.13423359582765	0	8.46439999999997
C03082	0	-0.0350500789687311	0.035448641739613	-7.888	7.931
C03089	0	0	0	0	0
C03090	0	-0.0322054348785152	0.0318068721076333	-7.52025	7.576
C03114	4.087	4.07461329427749	4.13423359582765	0	8.492
C03127	-4.087	-4.13423359582765	-4.07461329427749	-8.5	0
C03150	4.907	4.88428192205973	4.95721890913112	0	8.386
C03175	0	-0.0301501013737714	0.0297515386028895	-7.248	7.243
C03194	4.087	4.07461329427749	4.13440552486607	0	8.531
C03232	-4.087	-4.13423359582765	-4.07461329427749	-8.472	0
C03263	4.087	4.07461329427749	4.13423359582765	0	8.48
C03294	-4.087	-4.13423359582765	-4.07461329427749	-8.48	0
C03345	0	0	0	0	0
C03373	0	-0.0375664948946913	0.0375664948946913	-8.276	8.224
C03402	-4.087	-4.13423359582765	-4.07461329427749	-8.539	0
C03406	-4.087	-4.13423359582765	-4.07461329427749	-8.492	0
C03451	4.087	4.07461329427749	4.13423359582765	0	8.48
C03460	-4.087	-4.13440552486607	-4.07461329427749	-8.5	0
C03479	4.087	4.07461329427749	4.13423359582765	0	8.492
C03492	0	-0.0375664948946913	0.0379650576655732	-8.285	8.29
C03511	-4.087	-4.13440552486607	-4.07461329427749	-8.535	0
C03512	-4.087	-4.13440552486607	-4.07461329427749	-8.539	0
